Ontology ID	parent class	label	datatype	source	data status	requirement	min value	max value	capitalize	description	guidance	examples	GISAID	CNPHI
ID	SC %													
		Database Identifiers												
	Database Identifiers	specimen collector sample ID	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The user-defined name for the sample.	Store the collector sample ID. If this number is considered identifiable information, provide an alternative ID. Be sure to store the key that maps between the original and alternative IDs for traceability and follow up if necessary. Every collector sample ID from a single submitter must be unique. It can have any format, but we suggest that you make it concise, unique and consistent within your lab.	prov_rona_99	Sample ID given by the sample provider	Primary Specimen Identification Number
	Database Identifiers	NML submitted specimen primary ID	xs:token							The primary ID of the specimen submitted thorough LaSER.	Store the identifier for the specimen submitted through the NML LaSER system.	SR20-12345		
	Database Identifiers	NML related specimen primary ID	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access					The primary ID of the related specimen previously submitted thorough LaSER	Store the primary ID of the related specimen previously submitted thorough LaSER	SR20-12345		Related Specimen ID|Related Specimen Relationship Type
	Database Identifiers	IRIDA sample name	xs:token							The identifier assigned to a sequenced isolate in IRIDA.	Store the IRIDA sample name. The IRIDA sample name will be created by the individual entering data into the IRIDA platform. IRIDA samples may be linked to metadata and sequence data, or just metadata alone. It is recommended that the IRIDA sample name be the same as, or contain, the specimen collector sample ID for better traceability. It is also recommended that the IRIDA sample name mirror the GISAID accession. IRIDA sample names cannot contain slashes. Slashes should be replaced by underscores. See IRIDA documentation for more information regarding special characters (https://irida.corefacility.ca/documentation/user/user/samples/#adding-a-new-sample). 	prov_rona_99		
	Database Identifiers	umbrella bioproject accession	select						UPPER	The INSDC accession number assigned to the umbrella BioProject for the Canadian SARS-CoV-2 sequencing effort.	Store the umbrella BioProject accession by selecting it from the picklist in the template. The umbrella BioProject accession will be identical for all CanCOGen submitters. Different provinces will have their own BioProjects, however these BioProjects will be linked under one umbrella BioProject.	PRJNA623807		
	Database Identifiers	bioproject accession	xs:token						UPPER	The INSDC accession number of the BioProject(s) to which the BioSample belongs.	Store the BioProject accession number. BioProjects are an organizing tool that links together raw sequence data, assemblies, and their associated metadata. Each province will be assigned a different bioproject accession number by the National Microbiology Lab. A valid NCBI BioProject accession has prefix PRJN e.g., PRJNA12345, and is created once at the beginning of a new sequencing project. 	PRJNA608651		BioProject Accession
	Database Identifiers	biosample accession	xs:token						UPPER	The identifier assigned to a BioSample in INSDC archives.	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN.	SAMN14180202		BioSample Accession
	Database Identifiers	SRA accession	xs:token						UPPER	The Sequence Read Archive (SRA) identifier linking raw read data, methodological metadata and quality control metrics submitted to the INSDC.	Store the accession assigned to the submitted "run". NCBI-SRA accessions start with SRR.	SRR11177792		SRA Accession
	Database Identifiers	GenBank accession	xs:token						UPPER	The GenBank identifier assigned to the sequence in the INSDC archives.	Store the accession returned from a GenBank submission (viral genome assembly).	MN908947.3		
	Database Identifiers	GISAID accession	xs:token						UPPER	The GISAID accession number assigned to the sequence.	Store the accession returned from the GISAID submission.	EPI_ISL_436489		
		Sample collection and processing												
	Sample collection and processing	sample collected by	xs:token		Not Applicable; Missing; Not Collected; Not Provided; Restricted Access	required				The name of the agency that collected the original sample.	The name of the sample collector should be written out in full, (with minor exceptions) and be consistent across multple submissions e.g. Public Health Agency of Canada, Public Health Ontario, BC Centre for Disease Control. The sample collector specified is at the discretion of the data provider (i.e. may be hospital, provincial public health lab, or other).	BC Centre for Disease Control	Originating lab	
